score,ulasan
1,"Ini knp yaa, baru 1 hari berlangganan lancar nonton apapun, eh besok paginya udah gabisa. Disuruh berlangganan lagi. Kan jadi rugi, buat apa bayar kalo gtu."
1,Kok banyak error nya sih ? Sdh berlangganan tpi nggk bisa di aktifkan..
1,"APAAN INI?SAYA CUMAN BERLANGGANAN 1 BULAN DAN SUDAH BAYAR BULAN LALU,MASA SALDO SAYA MENGURANG HARI INI?KAN SAYA SUDAH BERHENTI BERLANGGANAN,BALIKIN SALDO SAYA!"
1,"Sekarang cara pembelian paketnya ribet , ga bisa pake pulsa ,"
1,Aplikasi babi
1,Mengecewakan pelanggan!!!
1,Sekarang apk vidio sering lelet ya Mohon di perbaiki
1,Kadang kalo nonton live ada tulisan aktifkan premier pas waktu nya habis tiba tiba gk bisa nonton live nya lagi
1,aplikasi berbayar... sangat tidak rekomended lebih baik uninstal jangan downlod
1,Aplikasi kacau nyedot pulsa doang
1,Karena live nya gak bis dilihat
1,Gw hbs berlangganan malah.gk bisa dipakai gunanya ap gw berlangganan klo gk bisa dipke?apk cacat
1,Gak bisa live
1,bosok gak bisa diputar
1,Kenapa kalau lihat saluran Net tv itu gak bisa ya mohon di konfirmasi
1,pembodohan
1,Sudah berlangganan tapi tidak menonton siaran. Sangat2 merugikan pelanggan👎👎👎
1,"Sering putus² gak stabil n harganya mahal pula, boleh mahal tapi kualitasnya harus mengikuti.."
1,"Aplikasi ga tau diri, Udah di paket Jaringan bagus,g bisa nonton bola 😠😡😡"
1,Aplikasi paling jelek Jangan download nanti nyesel
1,Saya harus membayar dua kali untuk fitur yang sama (in-app purchase+operator seluler)
1,Banyak iklannya cacat
1,Kok loading bae sih bnrin dong??jwb
1,Kalo lagunya dipotong nda usah upload nda usah ikut di video ini tuk indosiar
1,Di update malah tambah jelek aplikasi nya.. ngelag terus.. tiba2 paketan di perpanjang otomatis lagi.. nyesel pokonya sih.. ditambah lagi banyak Chanel yg ga ada sekarang mah
1,Live patah patah
1,Aplikasi Gak jelas mau nonton tayangan ulang bola malah gk ada
1,"Mkin d update koq mkin jelek ngebug terus butuh perbaikan jd bikin kesel nontonnya patah"" gmbrny berhentilah pdhl suara jln terus"
1,Ga bisa nonton padahal dah bayar
1,Sudah berlangganan paket bola yg 1 tahun. Tapi sering eror dan tidak bisa di buka. Mendingan dulu pas masih di mola lancar jaya. Kecewa sudah berlangganan mahal2
